ID,Title,Category,URL,No_Reads
502461,"Madrid & Barca target world-class striker, Valverde's Barca contract, Neymar release clause, and more La Liga news - 26th December 2018",football,https://www.sportskeeda.com/football/la-liga-news-transfer-round-up-26th-december-2018,1573
502469,WWE Rumors: Tentative date for launch of Women's Tag Team Titles revealed?,wwe,https://www.sportskeeda.com/wwe/wwe-rumors-tentative-date-for-launch-of-women-s-tag-team-titles-revealed,536
502471,"Australia vs India 2018/19, Third Test, Day 1: 5 Talking PointsÂ ",cricket,https://www.sportskeeda.com/cricket/australia-vs-india-2018-19-third-test-day-1-5-talking-points,687
502512,Fred in for Solskjaer's first home match but Martial misses out,football,https://www.sportskeeda.com/football/fred-in-for-solskjaer-s-first-home-match-but-martial-misses-out,17
502487,Kovacic: Chelsea the right club... for now,football,https://www.sportskeeda.com/football/kovacic-chelsea-the-right-club-for-now,211
502494,Agarwal struggled to contain emotions amid debut fifty,cricket,https://www.sportskeeda.com/cricket/agarwal-struggled-to-contain-emotions-amid-debut-fifty,99
502462,Steyn claims outright South Africa wicket-taking record,cricket,https://www.sportskeeda.com/cricket/steyn-claims-outright-south-africa-wicket-taking-record,28
502482,The biggest winners and losers of last night's SmackDown (25 December 2018),wwe,https://www.sportskeeda.com/wwe/the-biggest-winners-and-losers-of-last-night-s-smackdown-25-december-2018-ss,4
502424,IPL 2019: Ranking the openers of each team,cricket,https://www.sportskeeda.com/cricket/ipl-2019-ranking-the-openers-of-each-ipl-team,4480
502474,"Pro Kabaddi League 2018, Match 131: Jaipur Pink Panthers vs Bengaluru Bulls | Match Preview, Predicted Lineups, When & Where to watch",kabaddi,https://www.sportskeeda.com/kabaddi/pro-kabaddi-league-2018-match-131-jaipur-pink-panthers-vs-bengaluru-bulls-match-preview-predicted-lineups-when-where-to-watch,48
502500,Gattuso oversees AC Milan's worst Serie A goal drought since 1984,football,https://www.sportskeeda.com/football/gattuso-oversees-ac-milan-s-worst-serie-a-goal-drought-since-1984,29
502470,Australia frustrated on tough opening day in Melbourne - Head,cricket,https://www.sportskeeda.com/cricket/australia-frustrated-on-tough-opening-day-in-melbourne-head,153
502483,Cristiano Ronaldo rested for Atalanta v Juventus,football,https://www.sportskeeda.com/football/cristiano-ronaldo-rested-for-atalanta-v-juventus,145
502361,Top 3 most disappointing players for Chelsea so far this season,football,https://www.sportskeeda.com/football/top-3-most-disappointing-players-for-chelsea-so-far-this-season-ss,720
502446,What does boxing day test mean,cricket,https://www.sportskeeda.com/cricket/what-does-boxing-day-test-mean,94
502448,"Mitchell Marsh 'booed' at MCG, Head terms it disappointing",cricket,https://www.sportskeeda.com/cricket/mitchell-marsh-booed-at-mcg-head-terms-it-disappointing,178
502415,3 WWE Superstars expected to shine in 2019,wwe,https://www.sportskeeda.com/wwe/3-wwe-superstars-expected-to-shine-in-2019-ss,2259
502430,5 WWE Superstars with most matches in 2018,wwe,https://www.sportskeeda.com/wwe/5-wwe-superstars-most-matches-2018,1922
502516,De Bruyne makes first Premier League start of 2018-19 at Leicester,football,https://www.sportskeeda.com/football/de-bruyne-makes-first-premier-league-start-of-2018-19-at-leicester,1
502456,Curry admits Warriors 'laid an egg' but defends struggling Thompson,basketball,https://www.sportskeeda.com/basketball/curry-admits-warriors-laid-an-egg-but-defends-struggling-thompson,124
